,Month,SalesSystemCode,TITULO,SupervisorEmployeeID,Monthly Subscribers,Churned Subscribers,MonthsofEmploymentRounded,Exit Date,Características (D),Características (I),Características (S),Características (C),Motivación (D),Motivación (I),Motivación (S),Motivación (C),Bajo Stress (D),Bajo Stress (I),Bajo Stress (S),Bajo Stress (C),Rental Charge,Cost to Company,Revenue Per CtC
0,2017-12-01,91868.0,SALES SUPERVISOR,7935,,,67.0,,,,,,,,,,,,,,,1953.33,
1,2017-12-01,802496.0,SALES EXECUTIVE,91868,,,8.0,2018-04-13,70.0,95.0,20.0,25.0,85.0,95.0,11.0,7.0,60.0,86.0,40.0,60.0,,1533.33,
2,2017-12-01,2430.0,SALES EXECUTIVE,91868,145.0,8.0,9.0,,70.0,62.0,48.0,34.0,75.0,74.0,58.0,33.0,69.0,60.0,60.0,48.0,1870.752370000003,1533.33,1.2200585457794495
3,2017-12-01,700915.0,SALES EXECUTIVE,91868,,,34.0,,60.0,25.0,75.0,85.0,40.0,74.0,65.0,84.0,79.0,6.0,89.0,84.0,,1533.33,
4,2017-12-01,802581.0,SALES EXECUTIVE,91868,,,6.0,2018-08-31,67.0,15.0,40.0,94.0,59.0,25.0,65.0,93.0,79.0,18.0,30.0,92.0,,1533.33,
5,2017-12-01,700894.0,SALES EXECUTIVE,91868,,,35.0,,75.0,55.0,25.0,90.0,85.0,58.0,30.0,84.0,69.0,60.0,30.0,92.0,,1533.33,
6,2017-12-01,2438.0,SALES EXECUTIVE,91868,73.0,4.0,9.0,2018-04-12,52.0,55.0,33.0,60.0,69.0,58.0,40.0,55.0,40.0,60.0,40.0,74.0,1047.7123699999997,1533.33,0.6832921615046987
7,2017-12-01,701450.0,SALES EXECUTIVE,91868,61.0,4.0,15.0,2018-03-28,52.0,62.0,40.0,70.0,59.0,58.0,58.0,84.0,45.0,75.0,40.0,60.0,790.4249349999997,1533.33,0.51549564346879
8,2017-12-01,802681.0,SALES EXECUTIVE,91868,,,4.0,2018-08-31,40.0,86.0,71.0,70.0,10.0,90.0,58.0,33.0,69.0,75.0,89.0,92.0,,1533.33,
9,2017-12-01,802673.0,SALES EXECUTIVE,91868,,,4.0,2018-08-01,40.0,33.0,62.0,90.0,30.0,25.0,75.0,93.0,45.0,60.0,60.0,84.0,,1533.33,
10,2017-12-01,802680.0,SALES EXECUTIVE,91868,,,3.0,2018-03-23,43.0,33.0,57.0,85.0,40.0,58.0,58.0,73.0,45.0,30.0,69.0,92.0,,1533.33,
11,2017-12-01,802706.0,SALES EXECUTIVE ,91868,,,3.0,,84.0,33.0,40.0,60.0,85.0,25.0,40.0,84.0,87.0,60.0,60.0,48.0,,1533.33,
12,2017-12-01,802727.0,SALES EXECUTIVE,91868,,,3.0,,,,,,,,,,,,,,,1533.33,
13,2017-12-01,802796.0,SALES EXECUTIVE ,91868,,,2.0,,60.0,62.0,30.0,70.0,69.0,40.0,30.0,84.0,45.0,86.0,40.0,60.0,,1533.33,
14,2017-12-01,782829.0,SALES EXECUTIVE ,91868,,,1.0,,75.0,20.0,48.0,79.0,75.0,74.0,40.0,55.0,79.0,6.0,69.0,92.0,,1533.33,
15,2017-12-01,802849.0,SALES EXECUTIVE ,91868,,,1.0,2018-03-07,65.0,25.0,33.0,70.0,59.0,58.0,30.0,84.0,69.0,18.0,60.0,60.0,,1533.33,
16,2017-12-01,802590.0,SALES EXECUTIVE,Aff - 687,,,6.0,2018-05-31,52.0,43.0,62.0,70.0,69.0,74.0,65.0,33.0,40.0,30.0,69.0,92.0,,1533.33,
17,2017-12-01,802486.0,SALES EXECUTIVE,Aff - 687,,,8.0,2018-07-27,60.0,7.0,62.0,94.0,40.0,10.0,65.0,93.0,79.0,10.0,69.0,92.0,,1533.33,
18,2017-12-01,812406.0,SALES EXECUTIVE,Aff - 687,,,9.0,,67.0,43.0,40.0,85.0,45.0,74.0,30.0,93.0,87.0,30.0,69.0,74.0,,1533.33,
19,2017-12-01,802513.0,SALES EXECUTIVE,Aff - 687,,,7.0,,84.0,7.0,40.0,90.0,85.0,25.0,40.0,84.0,87.0,6.0,60.0,92.0,,1533.33,
20,2017-12-01,802574.0,SALES EXECUTIVE,Aff - 687,,,6.0,2018-03-28,65.0,33.0,57.0,79.0,59.0,58.0,65.0,73.0,69.0,30.0,60.0,84.0,,1533.33,
21,2017-12-01,802480.0,SALES EXECUTIVE,Aff - 687,,,8.0,,80.0,62.0,20.0,70.0,75.0,74.0,40.0,55.0,87.0,60.0,11.0,84.0,,1533.33,
22,2017-12-01,802679.0,SALES EXECUTIVE,Aff - 687,,,4.0,,80.0,25.0,33.0,70.0,90.0,25.0,40.0,18.0,60.0,45.0,40.0,96.0,,1533.33,
23,2017-12-01,802709.0,SALES EXECUTIVE ,Aff - 687,57.0,6.0,3.0,,75.0,86.0,20.0,25.0,75.0,82.0,18.0,18.0,79.0,86.0,30.0,48.0,858.0459349999998,1533.33,0.5595963915138945
24,2017-12-01,802761.0,SALES EXECUTIVE ,Aff - 687,,,2.0,2018-03-23,67.0,55.0,57.0,60.0,69.0,40.0,40.0,73.0,69.0,75.0,79.0,60.0,,1533.33,
25,2017-12-01,802765.0,SALES EXECUTIVE ,Aff - 687,,,2.0,2018-04-20,23.0,86.0,62.0,85.0,22.0,90.0,65.0,84.0,32.0,75.0,69.0,84.0,,1533.33,
26,2017-12-01,782827.0,SALES EXECUTIVE ,Aff - 687,,,1.0,2018-03-23,60.0,20.0,75.0,90.0,40.0,40.0,75.0,84.0,79.0,18.0,79.0,92.0,,1533.33,
27,2017-12-01,802850.0,SALES EXECUTIVE ,Aff - 687,,,1.0,,75.0,72.0,30.0,60.0,75.0,74.0,40.0,55.0,79.0,75.0,30.0,74.0,,1533.33,
28,2017-12-01,2431.0,SALES SUPERVISOR,7935,,,9.0,2018-02-01,40.0,90.0,25.0,94.0,40.0,90.0,30.0,84.0,40.0,86.0,30.0,96.0,,1908.33,
29,2017-12-01,802573.0,SALES EXECUTIVE,1812431,,,6.0,2018-07-12,,,,,,,,,,,,,,1533.33,
30,2017-12-01,802576.0,SALES EXECUTIVE,1812431,,,6.0,,,,,,,,,,,,,,,1533.33,
31,2017-12-01,701111.0,SALES EXECUTIVE,1812431,69.0,4.0,30.0,,43.0,72.0,48.0,60.0,59.0,82.0,30.0,55.0,32.0,60.0,79.0,74.0,934.5874999999997,1533.33,0.6095149119889389
32,2017-12-01,802632.0,SALES EXECUTIVE,1812431,,,6.0,,67.0,62.0,33.0,42.0,59.0,74.0,40.0,33.0,79.0,60.0,40.0,60.0,,1533.33,
33,2017-12-01,802637.0,SALES EXECUTIVE,1812431,,,6.0,2018-03-27,65.0,72.0,25.0,42.0,69.0,40.0,30.0,33.0,60.0,95.0,30.0,60.0,,1533.33,
34,2017-12-01,802462.0,SALES EXECUTIVE,1812431,74.0,5.0,9.0,2018-04-12,87.0,86.0,20.0,13.0,85.0,90.0,40.0,7.0,95.0,75.0,11.0,31.0,1021.0774999999998,1533.33,0.6659215563512093
35,2017-12-01,802588.0,SALES EXECUTIVE,1812431,,,6.0,2018-08-31,,,,,,,,,,,,,,1533.33,
36,2017-12-01,802429.0,SALES EXECUTIVE,1812431,55.0,4.0,9.0,,65.0,62.0,57.0,42.0,69.0,74.0,58.0,33.0,60.0,60.0,69.0,60.0,709.2249999999997,1533.33,0.4625390489979324
37,2017-12-01,802685.0,SALES EXECUTIVE,1812431,,,4.0,,84.0,43.0,40.0,42.0,75.0,58.0,40.0,33.0,95.0,45.0,60.0,60.0,,1533.33,
38,2017-12-01,802708.0,SALES EXECUTIVE,1812431,110.0,3.0,3.0,,67.0,43.0,40.0,34.0,69.0,74.0,58.0,18.0,69.0,30.0,40.0,60.0,1415.6499350000004,1533.33,0.9232519646781844
39,2017-12-01,802760.0,SALES EXECUTIVE ,1812431,,,2.0,,70.0,55.0,16.0,53.0,86.0,40.0,11.0,33.0,45.0,75.0,30.0,74.0,,1533.33,
